Top Term,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9
1,said,general,day,chapter,day,mr,boat,mr,night,night
2,time,enemy,night,day,life,mrs,night,said,camp,church
3,old,army,morning,mr,years,general,slaves,master,church,god
4,man,men,mrs,went,people,day,wood,slaves,regiment,general
5,did,brigade,went,morning,man,state,called,miles,god,slaves
6,men,battle,mr,came,men,states,old,camp,mr,slave
7,general,lee,boat,got,slaves,south,weather,got,father,said
8,mr,regiment,came,warm,great,war,work,slave,rev,master
9,little,line,got,little,women,president,river,man,dr,man
10,came,command,weather,home,god,new,men,told,brigade,prayer
11,great,division,rain,boat,school,people,corn,negro,life,meeting
12,house,camp,warm,night,slavery,southern,slave,money,march,slavery
13,good,cavalry,wood,old,south,church,miles,marched,years,men
14,home,troops,miles,house,year,government,plantation,slavery,prayer,rev
15,war,confederate,clear,said,children,washington,negro,night,miles,boat
16,people,gen,spent,evening,slave,united,master,negroes,mother,wood
17,went,jackson,evening,left,state,georgia,people,dollars,meeting,brigade
18,way,war,10,spent,negro,years,business,did,sunday,work
19,told,artillery,town,did,work,york,white,regiment,1864,free
20,years,wounded,home,town,world,public,small,asked,home,lee
