term_id,term_str,n,p,port_stem,stop
28,'s,33924,0.004537400247815564,'s,0
33,one,28003,0.0037454551096444766,one,0
39,would,23579,0.0031537366007323184,would,0
51,could,15872,0.0021229105274533848,could,0
53,time,15705,0.002100573956253491,time,0
58,us,14395,0.0019253589366615093,us,0
60,day,13937,0.0018641005557659919,day,0
63,said,13572,0.001815281103742272,said,0
64,men,13359,0.0017867919440681557,men,0
65,general,13163,0.0017605765670910347,gener,0
72,two,11914,0.0015935204148235652,two,0
73,man,11750,0.0015715850993937293,man,0
74,made,11645,0.0015575411474417003,made,0
75,upon,11409,0.001525975693530473,upon,0
76,old,11390,0.0015234344069867726,old,0
82,little,10180,0.0013615945797300565,littl,0
83,great,9957,0.0013317679008224138,great,0
85,came,9848,0.0013171889411769742,came,0
87,mr,9674,0.0012939161065136117,mr,0
91,many,9156,0.001224632610216935,mani,0
94,never,8690,0.0011623042139345965,never,0
95,first,8334,0.0011146885292210502,first,0
96,house,8323,0.001113217258064171,hous,0
97,well,8234,0.0011013133368857845,well,0
98,good,8233,0.0011011795849624317,good,0
101,much,8102,0.0010836580830032336,much,0
102,home,7942,0.0010622577752668083,home,0
103,went,7782,0.0010408574675303832,went,0
105,night,7714,0.0010317623367424023,night,0
106,every,7703,0.0010302910655855231,everi,0
110,see,7325,0.0009797328385582184,see,0
111,go,7316,0.0009785290712480445,go,0
112,left,7288,0.0009747840173941701,left,0
113,people,7275,0.0009730452423905855,peopl,0
115,long,7002,0.00093653096731531,long,0
116,back,6974,0.0009327859134614356,back,0
117,war,6916,0.0009250283019069815,war,0
118,way,6914,0.0009247607980602761,way,0
119,life,6905,0.0009235570307501022,life,0
120,years,6904,0.0009234232788267495,year,0
123,new,6633,0.0008871765075981792,new,0
124,like,6550,0.0008760750979599087,like,0
127,may,6220,0.0008319369632535315,may,0
128,place,6207,0.0008301981882499471,place,0
129,army,6189,0.0008277906536295992,armi,0
134,found,5990,0.0008011740208824203,found,0
136,last,5769,0.000771614845821483,last,0
137,morning,5731,0.000766532272734082,morn,0
138,come,5725,0.000765729761193966,come,0
139,three,5702,0.0007626534669568549,three,0
140,work,5668,0.0007581059015628644,work,0
141,told,5658,0.0007567683823293379,told,0
142,soon,5629,0.0007528895765521108,soon,0
143,days,5625,0.0007523545688587002,day,0
144,get,5574,0.0007455332207677146,get,0
145,enemy,5556,0.0007431256861473668,enemi,0
146,take,5554,0.0007428581823006614,take,0
147,n't,5532,0.000739915639986903,n't,0
148,took,5481,0.0007330942918959175,took,0
149,know,5478,0.0007326930361258594,know,0
150,make,5468,0.0007313555168923329,make,0
152,without,5422,0.0007252029284181106,without,0
154,ever,5343,0.0007146365264732507,ever,0
156,south,5289,0.0007074139226122072,south,0
157,must,5184,0.0006933699706601781,must,0
158,young,5172,0.0006917649475799462,young,0
159,mother,5107,0.0006830710725620235,mother,0
161,state,5016,0.0006708996475369316,state,0
162,called,4893,0.0006544481609645547,call,0
164,mrs,4839,0.0006472255571035112,mr,0
165,father,4817,0.0006442830147897527,father,0
166,thought,4803,0.0006424104878628155,thought,0
167,right,4758,0.0006363916513119458,right,0
168,saw,4707,0.0006295703032209604,saw,0
169,away,4676,0.000625423993597028,away,0
170,say,4668,0.0006243539782102066,say,0
171,sent,4615,0.0006172651262725158,sent,0
173,country,4600,0.000615258847422226,countri,0
175,near,4493,0.0006009473916234916,near,0
176,another,4443,0.0005942597954558586,anoth,0
177,children,4435,0.0005931897800690374,children,0
178,got,4404,0.000589043470445105,got,0
179,heard,4389,0.0005870371915948151,heard,0
181,white,4360,0.000583158385817588,white,0
182,even,4357,0.0005827571300475301,even,0
183,god,4337,0.0005800820915804769,god,0
184,might,4332,0.0005794133319637137,might,0
186,still,4179,0.000558949287690757,still,0
187,battle,4171,0.0005578792723039358,battl,0
188,line,4166,0.0005572105126871725,line,0
189,think,4147,0.0005546692261434719,think,0
191,part,4139,0.0005535992107566507,part,0
192,next,4118,0.0005507904203662449,next,0
193,river,4103,0.000548784141515955,river,0
194,knew,4091,0.0005471791184357231,knew,0
196,miles,4058,0.0005427653049650854,mile,0
197,large,4000,0.0005350076934106312,larg,0
198,give,3991,0.0005338039261004573,give,0
199,gave,3973,0.0005313963914801095,gave,0
200,put,3902,0.0005219000049220707,put,0
201,among,3876,0.0005184224549149017,among,0
202,always,3868,0.0005173524395280804,alway,0
203,also,3861,0.0005164161760646118,also,0
204,side,3798,0.0005079898048933944,side,0
205,friends,3788,0.0005066522856598677,friend,0
206,going,3786,0.0005063847818131625,go,0
207,nothing,3749,0.0005014359606491141,noth,0
208,brought,3693,0.0004939458529413653,brought,0
209,family,3680,0.0004922070779377807,famili,0
212,yet,3631,0.00048565323369350054,yet,0
213,lee,3625,0.00048485072215338456,lee,0
214,states,3622,0.00048444946638332657,state,0
215,road,3537,0.00047308055289835066,road,0
216,far,3536,0.00047294680097499805,far,0
218,hand,3522,0.0004710742740480608,hand,0
219,front,3500,0.0004681317317343023,front,0
221,church,3491,0.0004669279644241284,church,0
222,done,3486,0.00046625920480736514,done,0
223,confederate,3473,0.00046452042980378057,confeder,0
224,virginia,3470,0.0004641191740337226,virginia,0
225,asked,3439,0.0004599728644097902,ask,0
226,city,3428,0.000458501593252911,citi,0
227,wife,3415,0.0004567628182493264,wife,0
228,north,3412,0.0004563615624792685,north,0
229,several,3412,0.0004563615624792685,sever,0
230,seemed,3396,0.0004542215317056259,seem,0
231,command,3389,0.0004532852682421573,command,0
233,four,3357,0.00044900520669487225,four,0
234,passed,3338,0.00044646392015117175,pass,0
235,field,3336,0.0004461964163044665,field,0
236,captain,3329,0.00044526015284099784,captain,0
237,though,3321,0.0004441901374541766,though,0
238,colonel,3316,0.0004435213778374133,colonel,0
239,order,3298,0.0004411138432170655,order,0
240,room,3291,0.00044017757975359684,room,0
241,taken,3226,0.0004314837047356741,taken,0
242,early,3158,0.00042238857394769335,earli,0
243,five,3148,0.00042105105471416677,five,0
244,hundred,3146,0.0004207835508674615,hundr,0
245,felt,3132,0.00041891102394052426,felt,0
246,head,3131,0.0004187772720171716,head,0
247,almost,3124,0.000417841008553703,almost,0
248,however,3123,0.00041770725663035034,howev,0
249,small,3113,0.00041636973739682376,small,0
250,around,3090,0.00041329344315971266,around,0
251,shall,3090,0.00041329344315971266,shall,0
252,southern,3084,0.0004124909316195967,southern,0
253,heart,3082,0.00041222342777289136,heart,0
254,best,3081,0.0004120896758495387,best,0
255,woman,3068,0.0004103509008459542,woman,0
256,john,3055,0.0004086121258423696,john,0
257,seen,3052,0.00040821087007231167,seen,0
258,year,3043,0.0004070071027621377,year,0
259,tell,3038,0.00040633834314537443,tell,0
260,negro,3034,0.0004058033354519638,negro,0
261,let,3018,0.00040366330467832127,let,0
262,things,3007,0.000402192033521442,thing,0
263,course,2994,0.0004004532585178575,cours,0
264,poor,2986,0.0003993832431310362,poor,0
265,master,2983,0.00039898198736097826,master,0
266,whole,2974,0.00039777822005080435,whole,0
267,received,2969,0.00039710946043404103,receiv,0
268,half,2967,0.0003968419565873357,half,0
269,hands,2951,0.0003947019258136932,hand,0
270,fire,2931,0.00039202688734664003,fire,0
271,friend,2924,0.00039109062388317144,friend,0
272,name,2917,0.00039015436041970285,name,0
273,death,2914,0.00038975310464964486,death,0
274,position,2914,0.00038975310464964486,posit,0
275,women,2893,0.00038694431425923903,women,0
276,school,2863,0.0003829317565586593,school,0
277,de,2849,0.0003810592296317221,de,0
278,given,2835,0.0003791867027047849,given,0
279,camp,2832,0.00037878544693472694,camp,0
280,world,2817,0.00037677916808443704,world,0
281,others,2805,0.0003751741450042052,other,0
282,whose,2800,0.00037450538538744187,whose,0
283,since,2793,0.0003735691219239733,sinc,0
284,richmond,2791,0.00037330161807726795,richmond,0
285,horse,2788,0.00037290036230720996,hors,0
286,mind,2780,0.0003718303469203887,mind,0
287,better,2752,0.0003680852930665143,better,0
288,brigade,2748,0.0003675502853731037,brigad,0
289,company,2743,0.0003668815257563404,compani,0
290,full,2741,0.00036661402190963505,full,0
291,find,2721,0.0003639389834425819,find,0
292,became,2716,0.0003632702238258186,becam,0
293,money,2692,0.0003600601776653548,money,0
294,enough,2682,0.0003587226584318282,enough,0
295,often,2665,0.00035644887573483305,often,0
296,town,2665,0.00035644887573483305,town,0
297,soldiers,2652,0.00035471010073124853,soldier,0
298,reached,2649,0.00035430884496119054,reach,0
299,federal,2631,0.0003519013103408427,feder,0
301,returned,2612,0.0003493600237971422,return,0
302,union,2584,0.0003456149699432678,union,0
303,high,2578,0.0003448124584031518,high,0
304,love,2576,0.00034454495455644654,love,0
305,cavalry,2573,0.00034414369878638855,cavalri,0
306,letter,2563,0.00034280617955286197,letter,0
307,washington,2547,0.00034066614877921946,washington,0
308,water,2546,0.0003405323968558668,water,0
309,hill,2544,0.00034026489300916147,hill,0
310,known,2542,0.00033999738916245614,known,0
311,began,2534,0.0003389273737756349,began,0
312,evening,2524,0.0003375898545421083,even,0
313,met,2510,0.00033571732761517113,met,0
314,brother,2486,0.0003325072814547073,brother,0
315,along,2485,0.00033237352953135465,along,0
316,held,2483,0.0003321060256846493,held,0
317,county,2467,0.0003299659949110068,counti,0
318,troops,2466,0.00032983224298765415,troop,0
319,miss,2465,0.0003296984910643015,miss,0
320,gone,2448,0.0003274247083673063,gone,0
321,number,2446,0.000327157204520601,number,0
322,force,2444,0.0003268897006738957,forc,0
323,officers,2439,0.0003262209410571324,offic,0
324,dear,2438,0.00032608718913377973,dear,0
325,twenty,2436,0.0003258196852870744,twenti,0
326,slaves,2432,0.0003252846775936638,slave,0
327,husband,2430,0.0003250171737469585,husband,0
328,jackson,2429,0.0003248834218236058,jackson,0
329,return,2425,0.0003243484141301952,return,0
330,kind,2421,0.00032381340643678456,kind,0
331,government,2393,0.00032006835258291015,govern,0
332,service,2382,0.0003185970814260309,servic,0
333,point,2382,0.0003185970814260309,point,0
334,face,2365,0.00031632329872903573,face,0
335,eyes,2352,0.00031458452372545116,eye,0
336,president,2349,0.0003141832679553932,presid,0
337,ground,2331,0.00031177573333504533,ground,0
338,regiment,2330,0.0003116419814116927,regiment,0
339,quite,2322,0.0003105719660248714,quit,0
340,end,2299,0.0003074956717877603,end,0
341,looked,2289,0.00030615815255423374,look,0
342,negroes,2281,0.0003050881371674125,negro,0
343,leave,2278,0.0003046868813973545,leav,0
344,times,2266,0.0003030818583171226,time,0
345,present,2262,0.000302546850623712,present,0
346,soldier,2245,0.0003002730679267168,soldier,0
347,look,2239,0.00029947055638660083,look,0
348,duty,2220,0.00029692926984290033,duti,0
349,slave,2202,0.0002945217352225525,slave,0
350,ten,2195,0.0002935854717590839,ten,0
351,party,2184,0.00029211420060220466,parti,0
352,hope,2176,0.0002910441852153834,hope,0
353,march,2174,0.0002907766813686781,march,0
354,thus,2170,0.00029024167367526743,thu,0
355,officer,2169,0.0002901079217519148,offic,0
356,dead,2163,0.00028930541021179884,dead,0
357,fact,2159,0.00028877040251838824,fact,0
358,within,2150,0.0002875666352082143,within,0
359,meeting,2150,0.0002875666352082143,meet,0
360,ordered,2149,0.00028743288328486166,order,0
361,true,2147,0.00028716537943815633,true,0
362,boy,2144,0.00028676412366809834,boy,0
363,something,2140,0.00028622911597468774,someth,0
364,making,2136,0.0002856941082812771,make,0
365,business,2127,0.00028449034097110317,busi,0
366,kept,2125,0.00028422283712439784,kept,0
367,short,2113,0.00028261781404416593,short,0
368,turned,2112,0.0002824840621208133,turn,0
